Target No.,Receptor,Group,Group_AB,Protein,AFS,PS,SS,Coverage,TPS,Rank,In_shortlist,Exclusion_reason,BS_flag
4,Tissue Factor / F3,3,A,ANXA2,0.4690200499350865,0.0630303030303031,0.644,3/3,0.3920167843217965,63,True,,Medium
9,TEM8 / ANTXR1,5,A,ANXA2,0.6586283657002238,0.1163636363636364,,2/3,0.3874960010319301,64,True,,Medium
13,CD44,8,B,ALDOA,0.5096000325496846,0.2472727272727273,,2/3,0.3784363799112059,65,True,,Low
6,αvβ3 integrin / ITGAV–ITGB3,6,B,GAPDH,0.2825274389771045,,0.472,2/3,0.3772637194885522,66,True,,Medium
3,EpCAM / EPCAM,8,B,ENO1,0.3920231935245624,0.2909090909090909,0.448,3/3,0.376977428144551,67,True,,Medium
8,GLUT5 / SLC2A5,3,A,ANXA2,0.4680489069051979,0.2812121212121212,,2/3,0.3746305140586595,68,True,,Medium
3,EpCAM / EPCAM,6,B,GAPDH,0.2962242757090844,0.2351515151515152,0.591,3/3,0.3741252636201998,69,True,,Medium
9,TEM8 / ANTXR1,3,A,MFGE8,0.5865518897350315,0.155151515151515,,2/3,0.3708517024432732,70,True,,High
1,TROP2 / TACSTD2,6,B,GAPDH,0.6649098980999798,0.0727272727272727,,2/3,0.3688185854136263,71,True,,Medium
17,RON / MST1R,2,A,ITGB1,0.2944466633378653,0.4412121212121211,,2/3,0.3678293922749931,72,True,,High
9,TEM8 / ANTXR1,2,A,ITGB1,0.3513801776808217,0.269090909090909,0.481,3/3,0.3671570289239102,73,True,,High
7,MUC1,6,B,GAPDH,0.2243890623150005,,0.508,2/3,0.3661945311575003,74,True,,Medium
16,ROR1,10,B,TPI1,0.2381804035994905,0.48,,2/3,0.3590902017997452,75,True,,Low
15,MET / c-MET,4,A,LGALS3BP,0.3169483799865401,0.3999999999999999,,2/3,0.3584741899932699,76,True,,High
14,AXL,3,A,ANXA2,0.5173633425875402,0.1527272727272728,0.403,3/3,0.3576968717716043,77,True,,Medium
14,AXL,1,A,FN1,0.1792762916823684,,0.534,2/3,0.3566381458411842,78,True,,High
16,ROR1,9,B,PGK1,0.3047480910207282,0.4072727272727272,,2/3,0.3560104091467276,79,True,,Low
1,TROP2 / TACSTD2,10,B,ENO1,0.6401396275465637,0.0703030303030303,,2/3,0.355221328924797,80,True,,Medium
20,CXCR4,3,A,ANXA2,0.4476517634758534,0.0509090909090909,0.559,3/3,0.3525202847949814,81,True,,Medium
13,CD44,9,B,ENO1,0.3581483033155193,0.1963636363636364,0.495,3/3,0.3498373132263852,82,True,,Medium
16,ROR1,6,B,GAPDH,0.299994854734442,0.3975757575757576,,2/3,0.3487853061550998,83,True,,Medium
12,PD-L1 / CD274,7,B,ENO1,0.5265369887507587,0.1672727272727272,,2/3,0.346904858011743,84,True,,Medium
7,MUC1,3,A,FN1,0.1685766365089933,,0.52,2/3,0.3442883182544966,85,True,,High
16,ROR1,3,A,ANXA2,0.3346273079018495,0.3539393939393939,,2/3,0.3442833509206217,86,True,,Medium
13,CD44,3,A,MFGE8,0.2689233626701902,0.2327272727272726,0.522,3/3,0.3412168784658209,87,True,,High
4,Tissue Factor / F3,8,B,PGK1,0.3644269053207886,0.3175757575757575,,2/3,0.341001331448273,88,True,,Low
4,Tissue Factor / F3,7,B,LDHA,0.3591972006025224,0.32,,2/3,0.3395986003012612,89,True,,Low
7,MUC1,9,B,PGK1,0.3374210965883577,,,1/3,0.3374210965883577,90,False,coverage 1/3 (AFS-only) < 2/3 threshold,Low
8,GLUT5 / SLC2A5,4,A,LGALS3BP,0.3837618788264104,0.2884848484848484,,2/3,0.3361233636556294,91,True,,High
13,CD44,7,B,LDHA,0.3860296702102844,0.286060606060606,,2/3,0.3360451381354452,92,True,,Low
9,TEM8 / ANTXR1,4,A,THBS1,0.5351232293808581,0.1309090909090908,,2/3,0.3330161601449744,93,True,,High
20,CXCR4,7,B,LDHA,0.4054063849508011,0.2593939393939394,,2/3,0.3324001621723702,94,True,,Low
17,RON / MST1R,9,B,ENO1,0.3726772882836504,0.2884848484848484,,2/3,0.3305810683842494,95,True,,Medium
7,MUC1,5,A,THBS1,0.1269612340260384,,0.531,2/3,0.3289806170130192,96,True,,High
2,EGFR,9,B,TPI1,0.3574227287478661,0.0775757575757576,0.548,3/3,0.3276661621078746,97,True,,Low
16,ROR1,2,A,ITGB1,0.2739624554247626,0.3806060606060606,,2/3,0.3272842580154115,98,True,,High
2,EGFR,4,A,MFGE8,0.241731694622918,0.1818181818181817,0.554,3/3,0.3258499588136999,99,True,,High
14,AXL,4,A,MFGE8,0.2304089184557623,0.0412121212121212,0.704,3/3,0.3252070132226278,100,True,,High
15,MET / c-MET,7,B,LDHA,0.350461509693908,0.2957575757575758,,2/3,0.3231095427257419,101,True,,Low
12,PD-L1 / CD274,6,B,GAPDH,0.2882974756780485,0.0969696969696969,0.583,3/3,0.3227557242159151,102,True,,Medium
10,GPNMB,5,A,ANXA2,0.256403013849034,0.3878787878787878,,2/3,0.3221409008639109,103,True,,Medium
2,EGFR,7,B,LDHA,0.3519597478497375,0.16,0.451,3/3,0.3209865826165791,104,True,,Low
1,TROP2 / TACSTD2,9,B,ALDOA,0.5351948673371006,0.1066666666666665,,2/3,0.3209307670018836,105,True,,Low
4,Tissue Factor / F3,5,A,LGALS3BP,0.2854910411011973,0.3563636363636363,,2/3,0.3209273387324168,106,True,,High
18,CSPG4,3,A,MFGE8,0.1793974672899499,,0.461,2/3,0.320198733644975,107,True,,High
20,CXCR4,8,B,PKM,0.4035942332989086,0.2351515151515152,,2/3,0.3193728742252119,108,True,,Low
2,EGFR,8,B,PKM,0.2735450196245019,0.0775757575757576,0.606,3/3,0.3190402590667531,109,True,,Low
3,EpCAM / EPCAM,10,B,PKM,0.326921940749638,0.3103030303030303,,2/3,0.3186124855263341,110,True,,Low
