Target No.,Group,Group_AB,Protein,AFS,PS,SS,coverage,BS,TPS_equal,rank_equal
7,6,B,GAPDH,0.2243890623150005,,0.508,2,0.35,0.3661945311575003,74.0
16,10,B,TPI1,0.2381804035994905,0.48,,2,0.2,0.3590902017997452,75.0
15,4,A,LGALS3BP,0.3169483799865401,0.3999999999999999,,2,0.85,0.35847418999326996,76.0
14,3,A,ANXA2,0.5173633425875402,0.1527272727272728,0.403,3,0.6,0.35769687177160436,77.0
14,1,A,FN1,0.1792762916823684,,0.534,2,0.85,0.3566381458411842,78.0
16,9,B,PGK1,0.3047480910207282,0.4072727272727272,,2,0.2,0.35601040914672766,79.0
1,10,B,ENO1,0.6401396275465637,0.0703030303030303,,2,0.45,0.355221328924797,80.0
20,3,A,ANXA2,0.4476517634758534,0.0509090909090909,0.559,3,0.6,0.35252028479498143,81.0
13,9,B,ENO1,0.3581483033155193,0.1963636363636364,0.495,3,0.45,0.3498373132263852,82.0
16,6,B,GAPDH,0.299994854734442,0.3975757575757576,,2,0.35,0.3487853061550998,83.0
12,7,B,ENO1,0.5265369887507587,0.1672727272727272,,2,0.45,0.346904858011743,84.0
7,3,A,FN1,0.1685766365089933,,0.52,2,0.85,0.34428831825449663,85.0
16,3,A,ANXA2,0.3346273079018495,0.3539393939393939,,2,0.6,0.34428335092062173,86.0
13,3,A,MFGE8,0.2689233626701902,0.2327272727272726,0.522,3,0.85,0.3412168784658209,87.0
4,8,B,PGK1,0.3644269053207886,0.3175757575757575,,2,0.2,0.34100133144827305,88.0
4,7,B,LDHA,0.3591972006025224,0.32,,2,0.2,0.3395986003012612,89.0
7,9,B,PGK1,0.3374210965883577,,,1,0.2,0.3374210965883577,90.0
8,4,A,LGALS3BP,0.3837618788264104,0.2884848484848484,,2,0.85,0.3361233636556294,91.0
13,7,B,LDHA,0.3860296702102844,0.286060606060606,,2,0.2,0.3360451381354452,92.0
9,4,A,THBS1,0.5351232293808581,0.1309090909090908,,2,0.85,0.3330161601449744,93.0
20,7,B,LDHA,0.4054063849508011,0.2593939393939394,,2,0.2,0.33240016217237023,94.0
17,9,B,ENO1,0.3726772882836504,0.2884848484848484,,2,0.45,0.3305810683842494,95.0
7,5,A,THBS1,0.1269612340260384,,0.531,2,0.85,0.3289806170130192,96.0
2,9,B,TPI1,0.3574227287478661,0.0775757575757576,0.548,3,0.2,0.3276661621078746,97.0
16,2,A,ITGB1,0.2739624554247626,0.3806060606060606,,2,0.9,0.32728425801541156,98.0
2,4,A,MFGE8,0.241731694622918,0.1818181818181817,0.554,3,0.85,0.32584995881369994,99.0
14,4,A,MFGE8,0.2304089184557623,0.0412121212121212,0.704,3,0.85,0.3252070132226278,100.0
15,7,B,LDHA,0.350461509693908,0.2957575757575758,,2,0.2,0.3231095427257419,101.0
12,6,B,GAPDH,0.2882974756780485,0.0969696969696969,0.583,3,0.35,0.3227557242159151,102.0
10,5,A,ANXA2,0.256403013849034,0.3878787878787878,,2,0.6,0.3221409008639109,103.0
2,7,B,LDHA,0.3519597478497375,0.16,0.451,3,0.2,0.32098658261657914,104.0
1,9,B,ALDOA,0.5351948673371006,0.1066666666666665,,2,0.2,0.3209307670018836,105.0
4,5,A,LGALS3BP,0.2854910411011973,0.3563636363636363,,2,0.85,0.3209273387324168,106.0
18,3,A,MFGE8,0.1793974672899499,,0.461,2,0.85,0.320198733644975,107.0
20,8,B,PKM,0.4035942332989086,0.2351515151515152,,2,0.3,0.3193728742252119,108.0
2,8,B,PKM,0.2735450196245019,0.0775757575757576,0.606,3,0.3,0.31904025906675315,109.0
3,10,B,PKM,0.326921940749638,0.3103030303030303,,2,0.3,0.31861248552633414,110.0
12,3,A,SDCBP,0.5426064402613892,0.0945454545454544,,2,0.4,0.31857594740342177,111.0
19,6,B,GAPDH,0.2039582446868448,0.1503030303030303,0.6,3,0.35,0.31808709166329163,112.0
3,9,B,EEF1A1,0.3080534614787121,0.3272727272727272,,2,0.2,0.31766309437571966,113.0
8,6,B,GAPDH,0.3373380541836496,0.0993939393939393,0.494,3,0.35,0.3102439978591963,114.0
15,10,B,ENO1,0.3689381590341895,0.2472727272727273,,2,0.45,0.3081054431534584,115.0
11,1,A,SLC3A2,0.3437435830990298,0.2666666666666666,,2,0.9,0.30520512488284823,116.0
17,7,B,ALDOA,0.3713996138006014,0.2375757575757575,,2,0.2,0.30448768568817947,117.0
10,10,B,TKT,0.2613962405627151,0.3466666666666667,,2,0.2,0.3040314536146909,118.0
15,9,B,ALDOA,0.3686286413495898,0.2375757575757575,,2,0.2,0.30310219946267364,119.0
5,6,B,GAPDH,0.23382621512161,0.0048484848484848,0.663,3,0.35,0.30055823332336495,120.0
2,2,A,LGALS3BP,0.239182237585114,0.155151515151515,0.5,3,0.85,0.2981112509122097,121.0
4,9,B,TPI1,0.3752600564090075,0.2157575757575757,,2,0.2,0.2955088160832916,122.0
3,7,B,ALDOA,0.3232887404359847,0.2666666666666666,,2,0.2,0.29497770355132563,123.0
14,6,B,GAPDH,0.2141847879865379,0.1987878787878788,0.471,3,0.35,0.2946575555914722,124.0
12,8,B,LDHA,0.306474684252126,0.1624242424242424,0.407,3,0.2,0.2919663088921228,125.0
19,10,B,TPI1,0.3232417315578263,0.2593939393939394,,2,0.2,0.29131783547588286,126.0
20,2,A,LGALS3BP,0.3506383804062946,0.2278787878787879,,2,0.85,0.28925858414254124,127.0
4,4,A,MFGE8,0.3089630857568102,0.269090909090909,,2,0.85,0.2890269974238596,128.0
11,3,A,ANXA2,0.2125188318219123,0.3587878787878787,,2,0.6,0.2856533553048955,129.0
8,9,B,PGK1,0.3392050377403562,0.2303030303030302,,2,0.2,0.28475403402169325,130.0
8,1,A,SLC3A2,0.4283160133055467,0.1406060606060607,,2,0.9,0.2844610369558037,131.0
9,7,B,LDHA,0.3713363642778748,0.1842424242424242,,2,0.2,0.27778939426014954,132.0
12,1,A,LGALS3BP,0.3178485901656203,0.2351515151515152,,2,0.85,0.2765000526585677,133.0
12,5,A,MFGE8,0.3795158471555598,0.1721212121212121,,2,0.85,0.27581852963838593,134.0
17,1,A,FN1,0.2742970672343153,,,1,0.85,0.2742970672343153,135.0
12,2,A,ANXA2,0.4587847056479197,0.0848484848484848,,2,0.6,0.27181659524820223,136.0
15,3,A,ANXA2,0.3613250006799563,0.1818181818181817,,2,0.6,0.27157159124906904,137.0
19,5,A,LGALS3BP,0.2053108367834824,0.3369696969696969,,2,0.85,0.27114026687658965,138.0
14,2,A,ITGB1,0.2909726923898724,0.2448484848484848,,2,0.9,0.2679105886191786,139.0
11,9,B,ALDOA,0.267394007460381,,,1,0.2,0.267394007460381,140.0
14,9,B,TPI1,0.2551612841813411,0.2763636363636363,,2,0.2,0.2657624602724887,141.0
9,6,B,GAPDH,0.3017078844484792,0.2254545454545454,,2,0.35,0.2635812149515123,142.0
20,4,A,MFGE8,0.2539664733021068,0.2715151515151515,,2,0.85,0.2627408124086292,143.0
19,8,B,LDHA,0.2224198552497216,0.303030303030303,,2,0.2,0.2627250791400123,144.0
5,2,A,ITGA6,0.2743495143535716,0.0824242424242424,0.426,3,0.9,0.2609245855926047,145.0
14,8,B,LDHA,0.2312875453132982,0.286060606060606,,2,0.2,0.2586740756869521,146.0
17,6,B,GAPDH,0.3718167809679071,0.1454545454545454,,2,0.35,0.2586356632112263,147.0
5,10,B,TKT,0.4946265133625699,0.0,,2,0.2,0.24731325668128495,148.0
10,1,A,LGALS3BP,0.2504265952905417,0.24,,2,0.85,0.2452132976452708,149.0
17,3,A,ANXA2,0.3534385931307151,0.1333333333333333,,2,0.6,0.2433859632320242,150.0
16,4,A,LGALS3BP,0.2829581847847644,0.1987878787878788,,2,0.85,0.24087303178632158,151.0
19,7,B,ENO1,0.2467257673678229,0.2327272727272726,,2,0.45,0.23972652004754774,152.0
17,8,B,LDHA,0.3985236230107806,0.08,,2,0.2,0.2392618115053903,153.0
9,10,B,ALDOA,0.2697392958660355,0.2084848484848485,,2,0.2,0.239112072175442,154.0
9,8,B,PKM,0.4081922914037214,0.0654545454545455,,2,0.3,0.23682341842913346,155.0
11,5,A,SDCBP,0.1380974841208673,0.3272727272727272,,2,0.4,0.23268510569679723,156.0
16,8,B,PKM,0.2881713171913863,0.1745454545454545,,2,0.3,0.2313583858684204,157.0
10,9,B,ENO1,0.3017460156777046,0.16,,2,0.45,0.23087300783885226,158.0
1,3,A,SDCBP,0.3380501678387828,0.1163636363636364,,2,0.4,0.2272069021012096,159.0
18,6,B,GAPDH,0.2270537402343604,,,1,0.35,0.22705374023436037,160.0
11,7,B,LDHA,0.2930825003304694,0.1575757575757576,,2,0.2,0.2253291289531135,161.0
11,6,B,GAPDH,0.2345391582865098,0.2157575757575757,,2,0.35,0.22514836702204274,162.0
8,8,B,ALDOA,0.2932815479095304,0.155151515151515,,2,0.2,0.2242165315305227,163.0
18,2,A,THBS1,0.2196339998526085,,,1,0.85,0.2196339998526085,164.0
4,6,B,GAPDH,0.3733037337581656,0.0630303030303031,,2,0.35,0.21816701839423436,165.0
18,5,A,LGALS3BP,0.2147857056385032,,,1,0.85,0.2147857056385032,166.0
18,7,B,LDHA,0.2132922847003245,,,1,0.2,0.2132922847003245,167.0
9,9,B,TPI1,0.2990100277490108,0.1260606060606061,,2,0.2,0.21253531690480845,168.0
9,1,A,FN1,0.2113687699824363,,,1,0.85,0.21136876998243628,169.0
20,10,B,ENO1,0.3119526982527539,0.1090909090909091,,2,0.45,0.2105218036718315,170.0
1,4,A,FN1,0.209451656969877,,,1,0.85,0.20945165696987697,171.0
18,10,B,ALDOA,0.2064947049861787,,,1,0.2,0.20649470498617867,172.0
10,4,A,MFGE8,0.2681097917891121,0.1430303030303029,,2,0.85,0.20557004740970747,173.0
5,7,B,LDHA,0.2854686828561039,0.1236363636363636,,2,0.2,0.20455252324623374,174.0
11,4,A,LGALS3BP,0.257734894209319,0.1503030303030303,,2,0.85,0.20401896225617466,175.0
8,7,B,LDHA,0.3414739459565583,0.0654545454545455,,2,0.2,0.20346424570555185,176.0
8,5,A,SDCBP,0.3427925473113627,0.0557575757575758,,2,0.4,0.19927506153446928,177.0
18,8,B,PGK1,0.1981046379393533,,,1,0.2,0.1981046379393533,178.0
15,2,A,ITGB1,0.262796696470259,0.1333333333333333,,2,0.9,0.19806501490179615,179.0
14,7,B,PGK1,0.2479911159641898,0.1430303030303029,,2,0.2,0.19551070949724636,180.0
10,6,B,GAPDH,0.2112003848135142,0.176969696969697,,2,0.35,0.1940850408916056,181.0
18,9,B,PKM,0.1866028093521001,,,1,0.3,0.1866028093521001,182.0
11,10,B,PKM,0.3126956904468624,0.0581818181818181,,2,0.3,0.18543875431434026,183.0
16,7,B,LDHA,0.2651707348141696,0.1042424242424243,,2,0.2,0.18470657952829694,184.0
10,2,A,FN1,0.1831910782942121,,,1,0.85,0.1831910782942121,185.0
18,4,A,ITGB1,0.1830483887659706,,,1,0.9,0.1830483887659706,186.0
11,8,B,PGK1,0.2590976586338357,0.0921212121212121,,2,0.2,0.1756094353775239,187.0
16,1,A,FN1,0.1651906311202979,,,1,0.85,0.1651906311202979,188.0
2,10,B,PGK1,0.2512088894239167,0.0630303030303031,,2,0.2,0.15711959622710991,189.0
10,7,B,PGK1,0.2359098427363385,0.0630303030303031,,2,0.2,0.1494700728833208,190.0
11,2,A,BSG,0.1716569958868829,0.1260606060606061,,2,0.9,0.14885880097374452,191.0
10,8,B,ALDOA,0.2349876659586797,0.0533333333333333,,2,0.2,0.1441604996460065,192.0
14,10,B,ALDOA,0.2305196153698319,0.0484848484848484,,2,0.2,0.13950223192734015,193.0
5,8,B,ENO1,0.2728797487980177,0.0,,2,0.45,0.13643987439900884,194.0
7,7,B,PKM,0.136000335416327,,,1,0.3,0.136000335416327,195.0
5,9,B,PKM,0.2657660193460677,0.0,,2,0.3,0.13288300967303385,196.0
7,1,A,LGALS3BP,0.1313705490822194,,,1,0.85,0.1313705490822194,197.0
7,8,B,TPI1,0.1182147603239901,,,1,0.2,0.1182147603239901,198.0
7,10,B,EEF1A1,0.117152580305113,,,1,0.2,0.117152580305113,199.0
7,2,A,ANXA2,0.1062144700143487,,,1,0.6,0.1062144700143487,200.0
