Target No.,Receptor,Group,Protein,top10_freq,top20_freq,median_rank,rank_min,rank_max,rank_range
13,CD44,6,GAPDH,0.0,0.0,69,48,95,47
17,RON / MST1R,10,TKT,0.0,0.0,70,31,98,67
8,GLUT5 / SLC2A5,6,GAPDH,0.0,0.0,72,55,136,81
1,TROP2 / TACSTD2,3,SDCBP,0.0,0.0,76,39,178,139
9,TEM8 / ANTXR1,2,ITGB1,0.0,0.0,76,43,100,57
13,CD44,9,ENO1,0.0,0.0,76,43,123,80
8,GLUT5 / SLC2A5,9,PGK1,0.0,0.0,77,58,131,73
15,MET / c-MET,5,HSP90AA1,0.0,0.0,77,58,91,33
12,PD-L1 / CD274,8,LDHA,0.0,0.0,78,43,191,148
13,CD44,7,LDHA,0.0,0.0,78,56,110,54
3,EpCAM / EPCAM,7,ALDOA,0.0,0.0,79,55,178,123
7,MUC1,9,PGK1,0.0,0.0,79,23,165,142
8,GLUT5 / SLC2A5,5,SDCBP,0.0,0.0,79,46,157,111
13,CD44,4,THBS1,0.0,0.0,80,34,136,102
19,IGF1R,10,TPI1,0.0,0.0,80,38,110,72
20,CXCR4,2,LGALS3BP,0.0,0.0,80,60,103,43
12,PD-L1 / CD274,6,GAPDH,0.0,0.0,82,44,199,155
2,EGFR,3,FN1,0.0,0.0,85,25,142,117
20,CXCR4,5,ITGB1,0.0,0.0,86,71,105,34
15,MET / c-MET,4,LGALS3BP,0.0,0.0,89,74,112,38
12,PD-L1 / CD274,1,LGALS3BP,0.0,0.0,90,81,118,37
3,EpCAM / EPCAM,6,GAPDH,0.0,0.0,91,62,195,133
5,ICAM1 / CD54,4,MFGE8,0.0,0.0,91,62,125,63
9,TEM8 / ANTXR1,6,GAPDH,0.0,0.0,91,62,188,126
3,EpCAM / EPCAM,9,EEF1A1,0.0,0.0,94,64,128,64
6,αvβ3 integrin / ITGAV–ITGB3,6,GAPDH,0.0,0.0,94,84,106,22
9,TEM8 / ANTXR1,9,TPI1,0.0,0.0,97,66,189,123
