Target No.,Protein,TPS,rank_min,rank_max,rank_range
20,ITGB1,0.4675223188760494,34.0,40.0,6.0
11,LDHA,0.2253291289531135,155.0,161.0,6.0
16,FN1,0.1651906311202979,188.0,194.0,6.0
9,ITGB1,0.3671570289239102,69.0,75.0,6.0
18,PKM,0.1866028093521001,182.0,188.0,6.0
6,ENO1,0.7023350155985557,3.0,8.0,5.0
18,PGK1,0.1981046379393533,178.0,183.0,5.0
11,LGALS3BP,0.2040189622561746,171.0,176.0,5.0
14,PGK1,0.1955107094972463,175.0,180.0,5.0
16,MFGE8,0.7159589459166001,3.0,8.0,5.0
10,MFGE8,0.2055700474097074,168.0,173.0,5.0
17,THBS1,0.5958777814670969,12.0,17.0,5.0
2,FN1,0.6344376531215736,12.0,17.0,5.0
13,THBS1,0.5631352509353876,17.0,22.0,5.0
8,ALDOA,0.2242165315305227,158.0,163.0,5.0
16,PKM,0.2313583858684204,154.0,159.0,5.0
9,ALDOA,0.239112072175442,154.0,159.0,5.0
2,PGK1,0.1571195962271099,184.0,189.0,5.0
10,FN1,0.1831910782942121,185.0,190.0,5.0
6,THBS1,0.7566970181272088,2.0,6.0,4.0
15,GAPDH,0.3969264235229445,62.0,66.0,4.0
3,ENO1,0.376977428144551,65.0,69.0,4.0
11,BSG,0.1488588009737445,191.0,195.0,4.0
6,PGK1,0.7373216428734515,1.0,5.0,4.0
6,ITGB1,0.7522631876616138,3.0,7.0,4.0
6,ALDOA,0.6398148108139572,9.0,12.0,3.0
6,LDHA,0.6398328801576909,8.0,11.0,3.0
15,PGK1,0.6304759047532836,10.0,13.0,3.0
6,ITGA6,0.7386095789868335,4.0,6.0,2.0
16,LGALS3BP,0.2408730317863215,151.0,153.0,2.0
14,ALDOA,0.1395022319273401,193.0,194.0,1.0
7,PKM,0.136000335416327,195.0,196.0,1.0
6,MFGE8,0.8027960636063587,1.0,2.0,1.0
10,ALDOA,0.1441604996460065,191.0,192.0,1.0
10,PGK1,0.1494700728833208,189.0,190.0,1.0
10,GAPDH,0.1940850408916056,181.0,182.0,1.0
7,LGALS3BP,0.1313705490822194,197.0,197.0,0.0
7,TPI1,0.1182147603239901,198.0,198.0,0.0
7,EEF1A1,0.117152580305113,199.0,199.0,0.0
7,ANXA2,0.1062144700143487,200.0,200.0,0.0
