pdb_file,pdbqt_file,status,error
HSP90AB1_P08238.pdb,ExoCarta_PDBQT_Files\HSP90AB1_P08238.pdbqt,SUCCESS,
HSPA1A_P0DMV8.pdb,ExoCarta_PDBQT_Files\HSPA1A_P0DMV8.pdbqt,SUCCESS,
HSPA5_P11021.pdb,ExoCarta_PDBQT_Files\HSPA5_P11021.pdbqt,SUCCESS,
HSPA8_P11142.pdb,ExoCarta_PDBQT_Files\HSPA8_P11142.pdbqt,SUCCESS,
ITGA6_P23229.pdb,ExoCarta_PDBQT_Files\ITGA6_P23229.pdbqt,SUCCESS,
ITGB1_P05556.pdb,ExoCarta_PDBQT_Files\ITGB1_P05556.pdbqt,SUCCESS,
KPNB1_Q14974.pdb,ExoCarta_PDBQT_Files\KPNB1_Q14974.pdbqt,SUCCESS,
LAMP1_P11279.pdb,ExoCarta_PDBQT_Files\LAMP1_P11279.pdbqt,SUCCESS,
LDHA_P00338.pdb,ExoCarta_PDBQT_Files\LDHA_P00338.pdbqt,SUCCESS,
LDHB_P07195.pdb,ExoCarta_PDBQT_Files\LDHB_P07195.pdbqt,SUCCESS,
LGALS3BP_Q08380.pdb,ExoCarta_PDBQT_Files\LGALS3BP_Q08380.pdbqt,SUCCESS,
MFGE8_Q08431.pdb,ExoCarta_PDBQT_Files\MFGE8_Q08431.pdbqt,SUCCESS,
MSN_P26038.pdb,ExoCarta_PDBQT_Files\MSN_P26038.pdbqt,SUCCESS,
MVP_Q14764.pdb,ExoCarta_PDBQT_Files\MVP_Q14764.pdbqt,SUCCESS,
MYH9_P35579.pdb,ExoCarta_PDBQT_Files\MYH9_P35579.pdbqt,SUCCESS,
MYO1C_O00159.pdb,ExoCarta_PDBQT_Files\MYO1C_O00159.pdbqt,SUCCESS,
PDCD6IP_Q8WUM4.pdb,ExoCarta_PDBQT_Files\PDCD6IP_Q8WUM4.pdbqt,SUCCESS,
PFN1_P07737.pdb,ExoCarta_PDBQT_Files\PFN1_P07737.pdbqt,SUCCESS,
PGK1_P00558.pdb,ExoCarta_PDBQT_Files\PGK1_P00558.pdbqt,SUCCESS,
PKM_P14618.pdb,ExoCarta_PDBQT_Files\PKM_P14618.pdbqt,SUCCESS,
PPIA_P62937.pdb,ExoCarta_PDBQT_Files\PPIA_P62937.pdbqt,SUCCESS,
PRDX1_Q06830.pdb,ExoCarta_PDBQT_Files\PRDX1_Q06830.pdbqt,SUCCESS,
PRDX2_P32119.pdb,ExoCarta_PDBQT_Files\PRDX2_P32119.pdbqt,SUCCESS,
RAB14_P61106.pdb,ExoCarta_PDBQT_Files\RAB14_P61106.pdbqt,SUCCESS,
RAB5C_P51148.pdb,ExoCarta_PDBQT_Files\RAB5C_P51148.pdbqt,SUCCESS,
RAB7A_P51149.pdb,ExoCarta_PDBQT_Files\RAB7A_P51149.pdbqt,SUCCESS,
RAN_P62826.pdb,ExoCarta_PDBQT_Files\RAN_P62826.pdbqt,SUCCESS,
RAP1B_P61224.pdb,ExoCarta_PDBQT_Files\RAP1B_P61224.pdbqt,SUCCESS,
