Target No.,Protein,equal_.33/.33/.33,0.50/0.30/0.20,0.50/0.20/0.30,0.40/0.35/0.25,0.40/0.30/0.30
4,PGK1,0.34100133144827305,0.3468577249164019,0.3510408631079226,0.3425630363731074,0.3443478420014896
4,TPI1,0.2955088160832916,0.3154466261647205,0.329687919080027,0.3008255654383393,0.3069018504155367
4,ALDOA,0.5185217911190834,0.4790613298079452,0.4508752860142751,0.5079990014361132,0.49597295608414727
5,ITGB1,0.6033181763606038,0.4474545376580056,0.5123977204507547,0.5193916016745893,0.5513636301264043
5,ITGA6,0.2609245855926047,0.2471020299040585,0.2814596056616343,0.2450882905899135,0.26226707846870134
5,FN1,0.5268992874547614,0.3652846963639448,0.4326241093184517,0.4398760460981678,0.4730277570911558
5,MFGE8,0.4025635915281629,0.3442665994134565,0.41422720547406255,0.3582566128640985,0.3932369158944016
5,THBS1,0.44759544491037917,0.35227920701482746,0.391994306137974,0.39627131681277444,0.415823365611862
5,GAPDH,0.30055823332336495,0.25096765301535046,0.31678280453050195,0.2609774557456137,0.29388503150318945
5,LDHA,0.20455252324623374,0.2247815631487013,0.23923087736474954,0.20994693388689176,0.21611197461907233
5,ENO1,0.13643987439900884,0.17054984299876105,0.19491410628429837,0.14553586602560944,0.1559312850274387
5,PKM,0.13288300967303385,0.1661037620912923,0.18983287096147694,0.14174187698456944,0.15186629676918156
5,TKT,0.24731325668128495,0.30914157085160615,0.3533046524018357,0.26380080712670395,0.2826437219214685
6,FN1,0.7084202846501891,0.5838861209288417,0.6357753558127364,0.6413634272617713,0.6669088967430734
6,MFGE8,0.8027960636063587,0.7247086622947982,0.7572450795079483,0.7607490013616721,0.7767669298358385
6,THBS1,0.7566970181272088,0.6528528830388698,0.696121272659011,0.7007809453873338,0.7220823064310958
6,ITGB1,0.7522631876616138,0.6465188395165914,0.6905789845770174,0.6953239232758325,0.717015071613273
6,ITGA6,0.7386095789868335,0.6630136842669052,0.694511973733542,0.6979040972145644,0.7134109474135242
6,GAPDH,0.37726371948855225,0.33666245641221754,0.35357964936069025,0.3554015009089873,0.363729965129774
6,PGK1,0.7373216428734515,0.7373216428734515,0.7373216428734515,0.7373216428734515,0.7373216428734515
6,ALDOA,0.6398148108139572,0.6398148108139572,0.6398148108139572,0.6398148108139571,0.6398148108139571
6,LDHA,0.6398328801576909,0.6398328801576909,0.6398328801576909,0.6398328801576909,0.6398328801576909
6,ENO1,0.7023350155985557,0.7023350155985557,0.7023350155985557,0.7023350155985556,0.7023350155985556
7,LGALS3BP,0.1313705490822194,0.1313705490822194,0.1313705490822194,0.1313705490822194,0.1313705490822194
7,ANXA2,0.1062144700143487,0.1062144700143487,0.1062144700143487,0.1062144700143487,0.1062144700143487
7,FN1,0.34428831825449663,0.2689833117921381,0.3003603978181208,0.30373946862091894,0.3191866494337105
7,MFGE8,0.4065281975472751,0.27989742506753584,0.3326602469340938,0.3383423969812616,0.3643179400540286
7,THBS1,0.3289806170130192,0.24240088144717034,0.278475771266274,0.28236075940063904,0.30012070515773626
7,GAPDH,0.3661945311575003,0.30542075879642894,0.3307431639468753,0.33347019219384644,0.3459366070371432
7,PKM,0.136000335416327,0.136000335416327,0.136000335416327,0.136000335416327,0.136000335416327
7,TPI1,0.1182147603239901,0.1182147603239901,0.1182147603239901,0.11821476032399011,0.11821476032399011
7,PGK1,0.3374210965883577,0.3374210965883577,0.3374210965883577,0.3374210965883577,0.3374210965883577
7,EEF1A1,0.117152580305113,0.117152580305113,0.117152580305113,0.11715258030511301,0.11715258030511301
8,SLC3A2,0.2844610369558037,0.3204247810432394,0.3461131696771222,0.29405136871245324,0.30501174786290985
8,BSG,0.4075612477684502,0.4591485294075324,0.4959965877211626,0.4213178562055388,0.43703969441935436
8,ANXA2,0.37463051405865955,0.3979851122702941,0.41466696813574744,0.3808584069150955,0.38797599875102223
8,LGALS3BP,0.3361233636556294,0.3480329924483246,0.3565398701573927,0.3392992646670148,0.34292886582288384
8,SDCBP,0.19927506153446928,0.2351544329786926,0.2607825554388522,0.2088428939195955,0.2197775595025969
8,GAPDH,0.3102439978591963,0.2972872089100066,0.3367478149706127,0.2932231004613386,0.31295340349164164
8,LDHA,0.20346424570555185,0.23796667076830347,0.26261126009884034,0.21266489238895234,0.2231799171699814
8,ALDOA,0.2242165315305227,0.24148278562527464,0.2538158242643832,0.2288208659557899,0.23408296244180957
8,PGK1,0.28475403402169325,0.29836678495135893,0.3080901784725488,0.28838410093627076,0.2925327488386451
8,ENO1,0.4166159789465419,0.3771815441773887,0.4395603320561766,0.3821285686752443,0.41331796261463827
9,FN1,0.21136876998243628,0.2113687699824363,0.2113687699824363,0.2113687699824363,0.2113687699824363
9,ITGB1,0.3671570289239102,0.35261736156768353,0.3738082706585926,0.3549838892541468,0.36557934379960133
9,MFGE8,0.37085170244327326,0.4247767492662128,0.4632946398540268,0.38523171492939046,0.40166601491352444
9,THBS1,0.3330161601449744,0.38354292745394536,0.4196334755317817,0.34648996476070004,0.3618885986072436
9,ANXA2,0.3874960010319301,0.45527909219900353,0.5036955858897703,0.40557149200981635,0.42622919598454356
9,GAPDH,0.2635812149515123,0.273112882325754,0.2799212161644981,0.26612299291797675,0.2690278820225076
